"escenario","dist","m","pares","max_dif_abs","max_dif_rel","max_dif_rel_J","conv_A","conv_norm"
"exp","exponential",3,97,1.33591236683994e-09,1.3589534078135e-07,4.29813022164968e-10,0.97,0.99
"norm","normal",3,99,0.000694163716943308,6.96077267751162e-06,0.000107004360292008,0.99,1
"gam","gamma",3,89,0.0072365371351566,1.514416710751e-05,2.86098752882591e-05,0.89,1
"lnorm","lognormal",3,87,1.04707019907835e-05,7.94497606675717e-06,0.000182476003471548,0.87,1
"wei","weibull",3,96,0.000550041250448885,8.9743198864777e-05,0.000920674708864596,0.96,1
"par","pareto",3,90,11506251.6380178,0.921845955064638,0.00380700103940096,0.92,0.98
"burr_m3","burr",3,91,387.684207707542,0.0668107655656256,90506.7883433542,0.93,0.98
"burr_m5","burr",5,95,0.613660083479033,0.00180700043205637,4.24794051773144e-05,0.96,0.99
