dist,dgp,cfg,m,k,objective,median_theta_spread,median_J_spread,flat_valley
gamma,gam_moderada,P3c,3,2,C,1.2215315734324427e-05,1.5564591348943363e-07,no
gamma,gam_moderada,P3c,3,2,D,1.0033728009629463,295.63656276999205,no
gamma,gam_moderada,P5,5,2,A,1.2064484839938107e-08,9.550921100615828e-13,no
gamma,gam_moderada,P5,5,2,Bg,2.9504478476567984e-06,9.399085550245084e-09,no
gamma,gam_moderada,P5,5,2,C,4.453326638630064e-06,1.1600196936637535e-08,no
gamma,gam_moderada,P5,5,2,D,3.0495004806388996e-05,2.3285145095379477e-07,no
gamma,gam_moderada,P7,7,2,A,1.5088484993718624e-08,5.801447382321046e-13,no
gamma,gam_moderada,P7,7,2,Bg,1.6604137624903166e-06,1.5132342528526027e-09,no
gamma,gam_moderada,P7,7,2,C,1.7388750650090896e-06,1.3086044168421223e-09,no
gamma,gam_moderada,P7,7,2,D,3.4465928548842874e-05,3.1666551801168295e-07,no
