dist,dgp,n,cfg,m,k,objective,parameter,theta_true,R,n_success,conv_rate,bias,rel_bias,rmse,rel_rmse,sd,fail_not_applicable,fail_optimizer,fail_boundary,fail_nonfinite
normal,norm_positiva,100,P3c,3,2,A,mean,100.0,300,300,1.0,-0.17505199384835635,-0.0017505199384835635,1.4396997544121002,0.014396997544121002,1.4314055756647464,0,0,0,0
normal,norm_positiva,100,P3c,3,2,A,sd,15.0,300,300,1.0,-0.30201960575429077,-0.020134640383619385,1.7564909893367928,0.11709939928911953,1.7332219364422388,0,0,0,0
normal,norm_positiva,100,P3c,3,2,B,mean,100.0,300,300,1.0,-0.183631440391963,-0.0018363144039196299,1.4426280628580923,0.014426280628580923,1.4332839558763324,0,0,0,0
normal,norm_positiva,100,P3c,3,2,B,sd,15.0,300,300,1.0,-0.30040774908443346,-0.020027183272295565,1.7543481402110577,0.11695654268073717,1.7313244049964973,0,0,0,0
normal,norm_positiva,100,P3c,3,2,Bg,mean,100.0,300,300,1.0,-0.1750519277522784,-0.0017505192775227841,1.4397338716324821,0.014397338716324821,1.431440013444398,0,0,0,0
normal,norm_positiva,100,P3c,3,2,Bg,sd,15.0,300,300,1.0,-0.30202439637596434,-0.020134959758397623,1.756498750237744,0.11709991668251626,1.7332289902633913,0,0,0,0
normal,norm_positiva,100,P3c,3,2,C,mean,100.0,300,300,1.0,-0.17715928278667548,-0.0017715928278667548,1.4410236221076254,0.014410236221076254,1.4324816509338731,0,0,0,0
normal,norm_positiva,100,P3c,3,2,C,sd,15.0,300,300,1.0,-0.29788718276294546,-0.019859145517529698,1.7551756685886675,0.1170117112392445,1.7326024427722104,0,0,0,0
normal,norm_positiva,100,P3c,3,2,D,mean,100.0,300,300,1.0,-0.17052240541292463,-0.0017052240541292462,1.4655250995569165,0.014655250995569165,1.4580026861404642,0,0,0,0
normal,norm_positiva,100,P3c,3,2,D,sd,15.0,300,300,1.0,-0.21451542084842679,-0.014301028056561785,1.770062806312424,0.11800418708749492,1.7599517720595133,0,0,0,0
normal,norm_positiva,100,P3w,3,2,A,mean,100.0,300,300,1.0,-0.18143753578638666,-0.0018143753578638666,1.5272692466609201,0.015272692466609202,1.5189874418723348,0,0,0,0
normal,norm_positiva,100,P3w,3,2,A,sd,15.0,300,300,1.0,-0.38466975155207095,-0.025644650103471396,1.3240899241274138,0.08827266160849426,1.2690988992734435,0,0,0,0
normal,norm_positiva,100,P3w,3,2,B,mean,100.0,300,300,1.0,-0.20036730370773626,-0.0020036730370773625,1.5269916562145236,0.015269916562145236,1.5163180834467482,0,0,0,0
normal,norm_positiva,100,P3w,3,2,B,sd,15.0,300,300,1.0,-0.3832476100969515,-0.0255498406731301,1.335787541349908,0.08905250275666053,1.2817667670567234,0,0,0,0
normal,norm_positiva,100,P3w,3,2,Bg,mean,100.0,300,300,1.0,-0.18143449223013874,-0.0018143449223013875,1.5272758408426257,0.015272758408426257,1.5189944589338196,0,0,0,0
normal,norm_positiva,100,P3w,3,2,Bg,sd,15.0,300,300,1.0,-0.3846779561668008,-0.02564519707778672,1.3240911431507119,0.08827274287671412,1.269097680171051,0,0,0,0
normal,norm_positiva,100,P3w,3,2,C,mean,100.0,300,300,1.0,-0.18553974190174927,-0.0018553974190174927,1.5249920285891727,0.015249920285891727,1.516192100754449,0,0,0,0
normal,norm_positiva,100,P3w,3,2,C,sd,15.0,300,300,1.0,-0.3780671130601334,-0.025204474204008894,1.3358478874360915,0.08905652582907277,1.283372504904295,0,0,0,0
normal,norm_positiva,100,P3w,3,2,D,mean,100.0,300,300,1.0,-0.1567138321175321,-0.001567138321175321,1.5763707599665984,0.015763707599665985,1.571182440681879,0,0,0,0
normal,norm_positiva,100,P3w,3,2,D,sd,15.0,300,300,1.0,-0.5143107541475178,-0.03428738360983452,1.3899947868034734,0.09266631912023156,1.2935018796085611,0,0,0,0
normal,norm_positiva,100,P5,5,2,A,mean,100.0,300,300,1.0,-0.18473999511773798,-0.0018473999511773797,1.3966315163270493,0.013966315163270493,1.3866723696694079,0,0,0,0
normal,norm_positiva,100,P5,5,2,A,sd,15.0,300,300,1.0,-0.3667418628222965,-0.02444945752148643,1.2932872468525498,0.08621914979017,1.2422706751588442,0,0,0,0
normal,norm_positiva,100,P5,5,2,B,mean,100.0,300,300,1.0,-0.20844843971995886,-0.0020844843971995885,1.3979652415572796,0.013979652415572797,1.3846468457838192,0,0,0,0
normal,norm_positiva,100,P5,5,2,B,sd,15.0,300,300,1.0,-0.36561742305058686,-0.024374494870039124,1.3024538420160552,0.08683025613440368,1.2521726578609464,0,0,0,0
normal,norm_positiva,100,P5,5,2,Bg,mean,100.0,300,300,1.0,-0.1847432285964743,-0.001847432285964743,1.3966371256874621,0.01396637125687462,1.386677605987096,0,0,0,0
normal,norm_positiva,100,P5,5,2,Bg,sd,15.0,300,300,1.0,-0.36674767440992007,-0.024449844960661337,1.2932879551151057,0.08621919700767372,1.242269693531003,0,0,0,0
normal,norm_positiva,100,P5,5,2,C,mean,100.0,300,300,1.0,-0.1902568801545783,-0.0019025688015457832,1.3956879684484442,0.013956879684484442,1.3849696849581596,0,0,0,0
normal,norm_positiva,100,P5,5,2,C,sd,15.0,300,300,1.0,-0.3626326206204009,-0.02417550804136006,1.3018358834402988,0.08678905889601991,1.2523987351668757,0,0,0,0
normal,norm_positiva,100,P5,5,2,D,mean,100.0,300,300,1.0,-0.1792342470889423,-0.001792342470889423,1.4120821116476237,0.014120821116476237,1.4030011935857418,0,0,0,0
normal,norm_positiva,100,P5,5,2,D,sd,15.0,300,300,1.0,-0.3798669876477767,-0.025324465843185113,1.3802288388370663,0.09201525592247109,1.3291431290287736,0,0,0,0
normal,norm_positiva,100,Pmk,2,2,A,mean,100.0,300,300,1.0,-0.18969363199501288,-0.0018969363199501288,1.4498871361754193,0.014498871361754193,1.4398261578550537,0,0,0,0
normal,norm_positiva,100,Pmk,2,2,A,sd,15.0,300,300,1.0,-0.30201957464731777,-0.020134638309821186,1.756490960291607,0.1170993973527738,1.7332219123472874,0,0,0,0
normal,norm_positiva,100,Pmk,2,2,B,mean,100.0,300,300,1.0,-0.1896201566849811,-0.0018962015668498112,1.4501875053268771,0.01450187505326877,1.4401393455380795,0,0,0,0
normal,norm_positiva,100,Pmk,2,2,B,sd,15.0,300,300,1.0,-0.30128262765633984,-0.020085508510422657,1.756167758115885,0.117077850541059,1.7330219820357138,0,0,0,0
