"dist","scenario","n","rep","scheme","k","ref_kind","valid","reason","J_fro_rel","var_rel_err_max","se_rel_err_max","cov_offdiag_abs_err","chol_ok","rcond","asym","eig_min","eig_max","n_eval","secs"
"exponential","rate_pequeno",100,1,"A",1,"observed",TRUE,NA,5.51081352284655e-08,5.5108132171732e-08,2.75540664279775e-08,NA,TRUE,1,0,100.000005510814,100.000005510814,3,0
"exponential","rate_pequeno",100,1,"B",1,"observed",TRUE,NA,1.70591989459012e-06,1.7059228047613e-06,8.52961038542769e-07,NA,TRUE,1,0,99.9998294080105,99.9998294080105,3,0
"exponential","rate_pequeno",100,1,"C_richardson",1,"observed",TRUE,NA,2.30543378165748e-08,2.30543381772567e-08,1.15271689857573e-08,NA,TRUE,1,0,99.9999976945662,99.9999976945662,6,0.001
"exponential","rate_pequeno",100,2,"A",1,"observed",TRUE,NA,5.75048768780562e-08,5.75048735357585e-08,2.87524372694163e-08,NA,TRUE,1,0,100.000005750488,100.000005750488,3,0
"exponential","rate_pequeno",100,2,"B",1,"observed",TRUE,NA,3.67646117084064e-06,3.67644765451387e-06,1.8382255168041e-06,NA,TRUE,1,0,100.000367646117,100.000367646117,3,0
"exponential","rate_pequeno",100,2,"C_richardson",1,"observed",TRUE,NA,2.42375348591395e-08,2.42375354844548e-08,1.21187676485521e-08,NA,TRUE,1,0,99.9999975762465,99.9999975762465,6,0
"exponential","rate_pequeno",100,3,"A",1,"observed",TRUE,NA,5.74389913765572e-08,5.74389879799746e-08,2.8719494488817e-08,NA,TRUE,1,0,100.000005743899,100.000005743899,3,0.001
"exponential","rate_pequeno",100,3,"B",1,"observed",TRUE,NA,2.04823763738204e-06,2.04824183273208e-06,1.02412039185537e-06,NA,TRUE,1,0,99.9997951762363,99.9997951762363,3,0
"exponential","rate_pequeno",100,3,"C_richardson",1,"observed",TRUE,NA,3.34133076762555e-09,3.34133065750058e-09,1.67066535278935e-09,NA,TRUE,1,0,100.000000334133,100.000000334133,6,0
"exponential","rate_pequeno",1000,1,"A",1,"observed",TRUE,NA,3.73489805269855e-08,3.73489791731083e-08,1.86744897523348e-08,NA,TRUE,1,0,1000.00003734898,1000.00003734898,3,0
"exponential","rate_pequeno",1000,1,"B",1,"observed",TRUE,NA,4.97374080396185e-07,4.9737432765708e-07,2.48687132863439e-07,NA,TRUE,1,0,999.99950262592,999.99950262592,3,0
"exponential","rate_pequeno",1000,1,"C_richardson",1,"observed",TRUE,NA,2.35847593330618e-08,2.35847584974746e-08,1.17923793886912e-08,NA,TRUE,1,0,1000.00002358476,1000.00002358476,6,0
"exponential","rate_pequeno",1000,2,"A",1,"observed",TRUE,NA,1.04402898841727e-07,1.04402887716509e-07,5.22014451003248e-08,NA,TRUE,1,0,1000.0001044029,1000.0001044029,3,0
"exponential","rate_pequeno",1000,2,"B",1,"observed",TRUE,NA,4.21731174037632e-06,4.21729395482554e-06,2.10864920059896e-06,NA,TRUE,1,0,1000.00421731174,1000.00421731174,3,0.001
"exponential","rate_pequeno",1000,2,"C_richardson",1,"observed",TRUE,NA,3.59366176780895e-08,3.59366165714191e-08,1.79683083246591e-08,NA,TRUE,1,0,1000.00003593662,1000.00003593662,6,0
"exponential","rate_pequeno",1000,3,"A",1,"observed",TRUE,NA,4.12107027614184e-08,4.12107012607549e-08,2.06053509485335e-08,NA,TRUE,1,0,1000.0000412107,1000.0000412107,3,0
"exponential","rate_pequeno",1000,3,"B",1,"observed",TRUE,NA,9.61540341597811e-06,9.61549587251808e-06,4.80773637914577e-06,NA,TRUE,1,0,999.990384596584,999.990384596584,3,0.001
"exponential","rate_pequeno",1000,3,"C_richardson",1,"observed",TRUE,NA,2.09096560865873e-08,2.09096558034392e-08,1.04548279264744e-08,NA,TRUE,1,0,1000.00002090966,1000.00002090966,6,0
"exponential","rate_pequeno",10000,1,"A",1,"observed",TRUE,NA,2.45120987347036e-07,2.45120927234006e-07,1.22560471064697e-07,NA,TRUE,1,0,10000.0024512099,10000.0024512099,3,0
"exponential","rate_pequeno",10000,1,"B",1,"observed",TRUE,NA,3.76842134310209e-05,3.76827933845468e-05,1.88415741947575e-05,NA,TRUE,1,0,10000.3768421343,10000.3768421343,3,0
"exponential","rate_pequeno",10000,1,"C_richardson",1,"observed",TRUE,NA,4.1922808977688e-07,4.19227913830969e-07,2.09613978832002e-07,NA,TRUE,1,0,10000.0041922809,10000.0041922809,6,0
"exponential","rate_pequeno",10000,2,"A",1,"observed",TRUE,NA,1.63778783280577e-07,1.63778756733343e-07,8.18893816358192e-08,NA,TRUE,1,0,10000.0016377878,10000.0016377878,3,0
"exponential","rate_pequeno",10000,2,"B",1,"observed",TRUE,NA,4.28080900977875e-05,4.28062576438103e-05,2.14033578737806e-05,NA,TRUE,1,0,10000.428080901,10000.428080901,3,0.001
"exponential","rate_pequeno",10000,2,"C_richardson",1,"observed",TRUE,NA,5.80152973270742e-09,5.80152972979392e-09,2.9007648151762e-09,NA,TRUE,1,0,9999.9999419847,9999.9999419847,6,0
"exponential","rate_pequeno",10000,3,"A",1,"observed",TRUE,NA,6.15427576121874e-08,6.15427540010554e-08,3.07713775245767e-08,NA,TRUE,1,0,10000.0006154276,10000.0006154276,3,0
"exponential","rate_pequeno",10000,3,"B",1,"observed",TRUE,NA,3.00797343736122e-05,3.00806391911631e-05,1.50402064917745e-05,NA,TRUE,1,0,9999.69920265626,9999.69920265626,3,0
"exponential","rate_pequeno",10000,3,"C_richardson",1,"observed",TRUE,NA,2.85012018139241e-07,2.85011936692965e-07,1.4250597854656e-07,NA,TRUE,1,0,10000.0028501202,10000.0028501202,6,0.001
"exponential","rate_grande",100,1,"A",1,"observed",TRUE,NA,5.77464545870043e-08,5.77464511503711e-08,2.88732259729009e-08,NA,TRUE,1,0,100.000005774645,100.000005774645,3,0
"exponential","rate_grande",100,1,"B",1,"observed",TRUE,NA,3.46033875274543e-06,3.4603267790497e-06,1.73016488618878e-06,NA,TRUE,1,0,100.000346033875,100.000346033875,3,0
"exponential","rate_grande",100,1,"C_richardson",1,"observed",TRUE,NA,5.77464545870043e-08,5.77464511503711e-08,2.88732259729009e-08,NA,TRUE,1,0,100.000005774645,100.000005774645,6,0
"exponential","rate_grande",100,2,"A",1,"observed",TRUE,NA,5.30025960188141e-08,5.30025930881007e-08,2.65012969071794e-08,NA,TRUE,1,0,100.00000530026,100.00000530026,3,0
"exponential","rate_grande",100,2,"B",1,"observed",TRUE,NA,2.85235203932643e-06,2.85234390333229e-06,1.42617296865749e-06,NA,TRUE,1,0,100.000285235204,100.000285235204,3,0
"exponential","rate_grande",100,2,"C_richardson",1,"observed",TRUE,NA,1.14276423346382e-08,1.14276421772716e-08,5.71382106164662e-09,NA,TRUE,1,0,100.000001142764,100.000001142764,6,0
"exponential","rate_grande",100,3,"A",1,"observed",TRUE,NA,4.92806631768872e-08,4.92806604279056e-08,2.46403304417693e-08,NA,TRUE,1,0,100.000004928066,100.000004928066,3,0
"exponential","rate_grande",100,3,"B",1,"observed",TRUE,NA,1.55888104742985e-06,1.55887861720465e-06,7.79439612291779e-07,NA,TRUE,1,0,100.000155888105,100.000155888105,3,0
"exponential","rate_grande",100,3,"C_richardson",1,"observed",TRUE,NA,2.84537422601261e-08,2.84537414959656e-08,1.42268708034314e-08,NA,TRUE,1,0,100.000002845374,100.000002845374,6,0
"exponential","rate_grande",1000,1,"A",1,"observed",TRUE,NA,4.70244018515586e-08,4.70243995507791e-08,2.35121998951303e-08,NA,TRUE,1,0,1000.0000470244,1000.0000470244,3,0
"exponential","rate_grande",1000,1,"B",1,"observed",TRUE,NA,1.17508958516055e-05,1.1750757769586e-05,5.87539614489838e-06,NA,TRUE,1,0,1000.01175089585,1000.01175089585,3,0
"exponential","rate_grande",1000,1,"C_richardson",1,"observed",TRUE,NA,1.47045284734304e-07,1.47045263222506e-07,7.35226342479745e-08,NA,TRUE,1,0,1000.00014704528,1000.00014704528,6,0
"exponential","rate_grande",1000,2,"A",1,"observed",TRUE,NA,5.7049070960602e-08,5.7049067691694e-08,2.85245342798838e-08,NA,TRUE,1,0,1000.00005704907,1000.00005704907,3,0.001
"exponential","rate_grande",1000,2,"B",1,"observed",TRUE,NA,1.01228341133037e-05,1.01227316427415e-05,5.06137863031614e-06,NA,TRUE,1,0,1000.01012283411,1000.01012283411,3,0
"exponential","rate_grande",1000,2,"C_richardson",1,"observed",TRUE,NA,4.27008922088135e-08,4.27008941408497e-08,2.13504468508838e-08,NA,TRUE,1,0,999.999957299108,999.999957299108,6,0
"exponential","rate_grande",1000,3,"A",1,"observed",TRUE,NA,5.4415564250121e-08,5.44155610136512e-08,2.72077809011406e-08,NA,TRUE,1,0,1000.00005441556,1000.00005441556,3,0
"exponential","rate_grande",1000,3,"B",1,"observed",TRUE,NA,1.71037764323501e-06,1.71037471786512e-06,8.551877246071e-07,NA,TRUE,1,0,1000.00171037764,1000.00171037764,3,0
"exponential","rate_grande",1000,3,"C_richardson",1,"observed",TRUE,NA,1.68760662631939e-07,1.68760634130717e-07,8.43803206756458e-08,NA,TRUE,1,0,1000.00016876066,1000.00016876066,6,0
"exponential","rate_grande",10000,1,"A",1,"observed",TRUE,NA,1.87490677490132e-09,1.87490685820002e-09,9.37453371939315e-10,NA,TRUE,1,0,10000.0000187491,10000.0000187491,3,0.001
"exponential","rate_grande",10000,1,"B",1,"observed",TRUE,NA,5.36564850117429e-06,5.36561971119309e-06,2.6828134543571e-06,NA,TRUE,1,0,10000.053656485,10000.053656485,3,0
"exponential","rate_grande",10000,1,"C_richardson",1,"observed",TRUE,NA,2.64376534323674e-07,2.64376604157847e-07,1.32188293331773e-07,NA,TRUE,1,0,9999.99735623466,9999.99735623466,6,0.001
