dist,dgp,n,cfg,m,k,objective,parameter,theta_true,R,n_success,conv_rate,bias,rel_bias,rmse,rel_rmse,sd,fail_not_applicable,fail_optimizer,fail_boundary,fail_nonfinite
loglogistic,llog_pesada,100,P3c,3,2,A,shape,1.5,300,297,0.99,0.04391662814226849,0.02927775209484566,0.20928145724184757,0.13952097149456505,0.20496709740085578,0,3,0,0
loglogistic,llog_pesada,100,P3c,3,2,A,scale,300.0,300,297,0.99,-1.153360610302343,-0.003844535367674477,39.025149944187994,0.13008383314729333,39.073939351095774,0,3,0,0
loglogistic,llog_pesada,100,P3c,3,2,B,shape,1.5,300,300,1.0,0.03994755677906747,0.026631704519378314,0.18769517465184668,0.12513011643456445,0.1837012751451031,0,0,0,0
loglogistic,llog_pesada,100,P3c,3,2,B,scale,300.0,300,300,1.0,-1.8107149263109363,-0.006035716421036455,38.84448478520206,0.12948161595067353,38.867091637931956,0,0,0,0
loglogistic,llog_pesada,100,P3c,3,2,Bg,shape,1.5,300,300,1.0,0.04342567115259888,0.028950447435065918,0.2091847346468595,0.139456489764573,0.20496952451724654,0,0,0,0
loglogistic,llog_pesada,100,P3c,3,2,Bg,scale,300.0,300,300,1.0,-1.0877515250670626,-0.0036258384168902087,38.88537028039497,0.12961790093464992,38.935099310573484,0,0,0,0
loglogistic,llog_pesada,100,P3c,3,2,C,shape,1.5,300,300,1.0,0.03994658093259207,0.02663105395506138,0.1876945336524732,0.12512968910164882,0.183700830933798,0,0,0,0
loglogistic,llog_pesada,100,P3c,3,2,C,scale,300.0,300,300,1.0,-0.9610745348567207,-0.0032035817828557356,38.93833681119954,0.1297944560373318,38.99151450472407,0,0,0,0
loglogistic,llog_pesada,100,P3c,3,2,D,shape,1.5,300,300,1.0,0.03255945972664542,0.021706306484430282,0.18533816504638315,0.12355877669758876,0.18276065000166955,0,0,0,0
loglogistic,llog_pesada,100,P3c,3,2,D,scale,300.0,300,300,1.0,-0.9990735984034131,-0.003330245328011377,38.7849094226759,0.12928303140891967,38.836821616188416,0,0,0,0
loglogistic,llog_pesada,100,P3w,3,2,A,shape,1.5,300,300,1.0,0.05682800472642291,0.03788533648428194,0.2241340358026327,0.14942269053508847,0.21717241247402672,0,0,0,0
loglogistic,llog_pesada,100,P3w,3,2,A,scale,300.0,300,300,1.0,-1.3290376117142841,-0.004430125372380947,39.493114720047835,0.1316437157334928,39.53669523642859,0,0,0,0
loglogistic,llog_pesada,100,P3w,3,2,B,shape,1.5,300,300,1.0,0.05416195723658701,0.03610797149105801,0.17592488496470826,0.11728325664313884,0.16765961557212855,0,0,0,0
loglogistic,llog_pesada,100,P3w,3,2,B,scale,300.0,300,300,1.0,-1.3504047509090924,-0.004501349169696974,40.82774917795596,0.1360924972598532,40.87358981577509,0,0,0,0
loglogistic,llog_pesada,100,P3w,3,2,Bg,shape,1.5,300,300,1.0,0.05682832184624309,0.037885547897495396,0.22413462121809827,0.1494230808120655,0.2171729354170213,0,0,0,0
loglogistic,llog_pesada,100,P3w,3,2,Bg,scale,300.0,300,300,1.0,-1.328974964165127,-0.00442991654721709,39.493149263524494,0.13164383087841497,39.536731970138554,0,0,0,0
loglogistic,llog_pesada,100,P3w,3,2,C,shape,1.5,300,300,1.0,0.05416163672604846,0.03610775781736564,0.1759248739157257,0.11728324927715046,0.16765970782564346,0,0,0,0
loglogistic,llog_pesada,100,P3w,3,2,C,scale,300.0,300,300,1.0,0.7549115067404841,0.002516371689134947,41.51873931083758,0.13839579770279195,41.58123558876739,0,0,0,0
loglogistic,llog_pesada,100,P3w,3,2,D,shape,1.5,300,300,1.0,0.06915430238126996,0.046102868254179974,0.18320736214204067,0.12213824142802711,0.16993787967479754,0,0,0,0
loglogistic,llog_pesada,100,P3w,3,2,D,scale,300.0,300,300,1.0,-0.5588555394058972,-0.0018628517980196573,39.50602935229725,0.13168676450765748,39.56807819075472,0,0,0,0
loglogistic,llog_pesada,100,P5,5,2,A,shape,1.5,300,300,1.0,0.05815024829679705,0.0387668321978647,0.2548864165609664,0.16992427770731092,0.2485791744902997,0,0,0,0
loglogistic,llog_pesada,100,P5,5,2,A,scale,300.0,300,300,1.0,-2.2875360017022786,-0.007625120005674262,45.37833692885848,0.15126112309619494,45.3963663199317,0,0,0,0
loglogistic,llog_pesada,100,P5,5,2,B,shape,1.5,300,300,1.0,0.04845184379849088,0.03230122919899392,0.16469061594207052,0.10979374396138035,0.15766508408979468,0,0,0,0
loglogistic,llog_pesada,100,P5,5,2,B,scale,300.0,300,300,1.0,-3.2009166859568836,-0.010669722286522946,38.27669627972962,0.12758898759909873,38.2063523732086,0,0,0,0
loglogistic,llog_pesada,100,P5,5,2,Bg,shape,1.5,300,300,1.0,0.058150461250217056,0.03876697416681137,0.25488658941226655,0.16992439294151104,0.2485793023371801,0,0,0,0
loglogistic,llog_pesada,100,P5,5,2,Bg,scale,300.0,300,300,1.0,-2.28748985343708,-0.0076249661781236,45.37836341165677,0.15126121137218923,45.39639521392503,0,0,0,0
loglogistic,llog_pesada,100,P5,5,2,C,shape,1.5,300,300,1.0,0.048584427295672805,0.0323896181971152,0.1651413612971436,0.1100942408647624,0.15809660894938948,0,0,0,0
loglogistic,llog_pesada,100,P5,5,2,C,scale,300.0,300,300,1.0,-0.15934757379028497,-0.0005311585793009499,38.59939555583312,0.12866465185277706,38.66355969714349,0,0,0,0
loglogistic,llog_pesada,100,P5,5,2,D,shape,1.5,300,300,1.0,0.049373496160180386,0.032915664106786924,0.16464489109938002,0.10976326073292002,0.1573299306095294,0,0,0,0
