dist,dgp,n,cfg,m,k,objective,parameter,theta_true,R,n_success,conv_rate,bias,rel_bias,rmse,rel_rmse,sd,fail_not_applicable,fail_optimizer,fail_boundary,fail_nonfinite
weibull,wei_moderada,100,P3c,3,2,A,shape,1.5,300,295,0.9833333333333333,0.04886569353080139,0.03257712902053426,0.19612185241964367,0.13074790161309577,0.19025938142475693,0,5,0,0
weibull,wei_moderada,100,P3c,3,2,A,scale,600.0,300,295,0.9833333333333333,-3.5009502065411198,-0.0058349170109018664,48.947644162691624,0.08157940693781937,48.90524257663566,0,5,0,0
weibull,wei_moderada,100,P3c,3,2,B,shape,1.5,300,300,1.0,0.03794142156814506,0.02529428104543004,0.1936672396908657,0.1291114931272438,0.19023163558178557,0,0,0,0
weibull,wei_moderada,100,P3c,3,2,B,scale,600.0,300,300,1.0,-4.069121945216239,-0.006781869908693731,48.69199174395081,0.08115331957325135,48.60274060760188,0,0,0,0
weibull,wei_moderada,100,P3c,3,2,Bg,shape,1.5,300,300,1.0,0.0483652525214926,0.03224350168099507,0.1959175403717549,0.13061169358116995,0.1901710679646614,0,0,0,0
weibull,wei_moderada,100,P3c,3,2,Bg,scale,600.0,300,300,1.0,-3.2019720164583987,-0.005336620027430665,48.804705000397206,0.08134117500066201,48.78092387222392,0,0,0,0
weibull,wei_moderada,100,P3c,3,2,C,shape,1.5,300,300,1.0,0.03706362167611199,0.024709081117407994,0.19350549286513966,0.1290036619100931,0.1902401150875538,0,0,0,0
weibull,wei_moderada,100,P3c,3,2,C,scale,600.0,300,300,1.0,-2.934479504011847,-0.004890799173353078,48.699550219227106,0.08116591703204518,48.69228017620538,0,0,0,0
weibull,wei_moderada,100,P3c,3,2,D,shape,1.5,300,300,1.0,0.03326496323150452,0.022176642154336346,0.188634418872158,0.12575627924810534,0.18598841857471438,0,0,0,0
weibull,wei_moderada,100,P3c,3,2,D,scale,600.0,300,300,1.0,-1.8644944713346376,-0.003107490785557729,48.78740615622909,0.08131234359371514,48.83322235087286,0,0,0,0
weibull,wei_moderada,100,P3w,3,2,A,shape,1.5,300,300,1.0,0.05159132895191809,0.03439421930127873,0.16395477729706784,0.1093031848647119,0.1558861939376736,0,0,0,0
