"dist","scenario","n","rep","scheme","i","j","entry","ref","num","err","err_type"
"exponential","rate_pequeno",10000,1,"B",1,1,"J_u[1,1]",10000,10000.3768421343,3.76842134310209e-05,"rel"
"exponential","rate_pequeno",10000,1,"C_richardson",1,1,"J_u[1,1]",10000,10000.0041922809,4.1922808977688e-07,"rel"
"exponential","rate_pequeno",10000,2,"A",1,1,"J_u[1,1]",10000,10000.0016377878,1.63778783280577e-07,"rel"
"exponential","rate_pequeno",10000,2,"B",1,1,"J_u[1,1]",10000,10000.428080901,4.28080900977875e-05,"rel"
"exponential","rate_pequeno",10000,2,"C_richardson",1,1,"J_u[1,1]",10000,9999.9999419847,5.80152973270742e-09,"rel"
"exponential","rate_pequeno",10000,3,"A",1,1,"J_u[1,1]",10000,10000.0006154276,6.15427576121874e-08,"rel"
"exponential","rate_pequeno",10000,3,"B",1,1,"J_u[1,1]",10000,9999.69920265626,3.00797343736122e-05,"rel"
"exponential","rate_pequeno",10000,3,"C_richardson",1,1,"J_u[1,1]",10000,10000.0028501202,2.85012018139241e-07,"rel"
"exponential","rate_grande",100,1,"A",1,1,"J_u[1,1]",100,100.000005774645,5.77464545870043e-08,"rel"
"exponential","rate_grande",100,1,"B",1,1,"J_u[1,1]",100,100.000346033875,3.46033875274543e-06,"rel"
"exponential","rate_grande",100,1,"C_richardson",1,1,"J_u[1,1]",100,100.000005774645,5.77464545870043e-08,"rel"
"exponential","rate_grande",100,2,"A",1,1,"J_u[1,1]",100,100.00000530026,5.30025960188141e-08,"rel"
"exponential","rate_grande",100,2,"B",1,1,"J_u[1,1]",100,100.000285235204,2.85235203932643e-06,"rel"
"exponential","rate_grande",100,2,"C_richardson",1,1,"J_u[1,1]",100,100.000001142764,1.14276423346382e-08,"rel"
"exponential","rate_grande",100,3,"A",1,1,"J_u[1,1]",100,100.000004928066,4.92806631768872e-08,"rel"
"exponential","rate_grande",100,3,"B",1,1,"J_u[1,1]",100,100.000155888105,1.55888104742985e-06,"rel"
