"dist","scenario","mode","rep","where","theta","message","call"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",13,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",14,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",20,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",21,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",21,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",21,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",21,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",21,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",24,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",35,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",43,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",58,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",58,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",58,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",58,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",58,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",58,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",58,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",58,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",58,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",58,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
"gamma","T2T3_gam_x1000","none",58,"objetivo Q(p;theta)","0,0","Se han producido NaNs","stats::qgamma(p, shape = t[1], scale = t[2])"
