dist,dgp,n,cfg,m,k,objective,parameter,theta_true,R,n_success,conv_rate,bias,rel_bias,rmse,rel_rmse,sd,fail_not_applicable,fail_optimizer,fail_boundary,fail_nonfinite
normal,norm_estandar,100,Pmk,2,2,B,sd,1.0,300,300,1.0,-0.028306315574861296,-0.028306315574861296,0.12210823024971625,0.12210823024971625,0.11898050370052309,0,0,0,0
normal,norm_estandar,100,Pmk,2,2,Bg,mean,0.0,300,300,1.0,0.009260418405772415,nan,0.1108216100937813,nan,0.11061854329994042,0,0,0,0
normal,norm_estandar,100,Pmk,2,2,Bg,sd,1.0,300,300,1.0,-0.02830613290322448,-0.02830613290322448,0.12210796933871379,0.12210796933871379,0.11898027863938747,0,0,0,0
normal,norm_estandar,100,Pmk,2,2,C,mean,0.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,100,Pmk,2,2,C,sd,1.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,100,Pmk,2,2,D,mean,0.0,300,300,1.0,0.00926052355997457,nan,0.11082155247693118,nan,0.11061847655180021,0,0,0,0
normal,norm_estandar,100,Pmk,2,2,D,sd,1.0,300,300,1.0,-0.028306256142280217,-0.028306256142280217,0.12210659269200369,0.12210659269200369,0.1189788316606626,0,0,0,0
normal,norm_estandar,1000,P3c,3,2,A,mean,0.0,300,300,1.0,-0.0037278765336175444,nan,0.03555598498086898,nan,0.035419100970451915,0,0,0,0
normal,norm_estandar,1000,P3c,3,2,A,sd,1.0,300,300,1.0,-0.0013252135644734597,-0.0013252135644734597,0.035705952987886695,0.035705952987886695,0.03574097010802289,0,0,0,0
normal,norm_estandar,1000,P3c,3,2,B,mean,0.0,300,300,1.0,-0.003004810120383954,nan,0.042019295489861275,nan,0.04198174841847691,0,0,0,0
normal,norm_estandar,1000,P3c,3,2,B,sd,1.0,300,300,1.0,-0.0022628658670782453,-0.0022628658670782453,0.03645441993001169,0.03645441993001169,0.03644491197956958,0,0,0,0
normal,norm_estandar,1000,P3c,3,2,Bg,mean,0.0,300,300,1.0,-0.003727826138509663,nan,0.03555601047474868,nan,0.03541913197025825,0,0,0,0
normal,norm_estandar,1000,P3c,3,2,Bg,sd,1.0,300,300,1.0,-0.0013249993263045878,-0.0013249993263045878,0.03570569293123377,0.03570569293123377,0.03574071740681809,0,0,0,0
normal,norm_estandar,1000,P3c,3,2,C,mean,0.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,1000,P3c,3,2,C,sd,1.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,1000,P3c,3,2,D,mean,0.0,300,300,1.0,-0.003618929542006688,nan,0.03596786460780471,nan,0.035845132796975446,0,0,0,0
normal,norm_estandar,1000,P3c,3,2,D,sd,1.0,300,300,1.0,-0.0006956492124939873,-0.0006956492124939873,0.035666347491451936,0.035666347491451936,0.03571914435049166,0,0,0,0
normal,norm_estandar,1000,P3w,3,2,A,mean,0.0,300,300,1.0,-0.0025505189671678244,nan,0.03688578670334544,nan,0.03685898437949385,0,0,0,0
normal,norm_estandar,1000,P3w,3,2,A,sd,1.0,300,300,1.0,-0.002290265471066699,-0.002290265471066699,0.028870225881844843,0.028870225881844843,0.02882732515269116,0,0,0,0
normal,norm_estandar,1000,P3w,3,2,B,mean,0.0,300,299,0.9966666666666667,-0.003039365319520438,nan,0.04227963836497228,nan,0.04224094730622277,0,1,0,0
normal,norm_estandar,1000,P3w,3,2,B,sd,1.0,300,299,0.9966666666666667,-0.0035595155555482316,-0.0035595155555482316,0.029164980452509856,0.029164980452509856,0.02899547836814779,0,1,0,0
normal,norm_estandar,1000,P3w,3,2,Bg,mean,0.0,300,300,1.0,-0.0025505143144836785,nan,0.0368858158564137,nan,0.036859013974360214,0,0,0,0
normal,norm_estandar,1000,P3w,3,2,Bg,sd,1.0,300,300,1.0,-0.0022902189262041794,-0.0022902189262041794,0.028870183977626415,0.028870183977626415,0.028827286755972875,0,0,0,0
normal,norm_estandar,1000,P3w,3,2,C,mean,0.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,1000,P3w,3,2,C,sd,1.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,1000,P3w,3,2,D,mean,0.0,300,300,1.0,-0.002840753880791639,nan,0.03736006262355056,nan,0.03731414676034495,0,0,0,0
normal,norm_estandar,1000,P3w,3,2,D,sd,1.0,300,300,1.0,-0.002981716417174707,-0.002981716417174707,0.028941167489741435,0.028941167489741435,0.02883525821973531,0,0,0,0
normal,norm_estandar,1000,P5,5,2,A,mean,0.0,300,300,1.0,-0.0031577974967915198,nan,0.034479064793077066,nan,0.03439152240527169,0,0,0,0
normal,norm_estandar,1000,P5,5,2,A,sd,1.0,300,300,1.0,-0.002080907812980204,-0.002080907812980204,0.027432946318147154,0.027432946318147154,0.027399613667568296,0,0,0,0
normal,norm_estandar,1000,P5,5,2,B,mean,0.0,300,299,0.9966666666666667,-0.0030012731528679176,nan,0.041958143458427986,nan,0.041920825438394455,0,1,0,0
normal,norm_estandar,1000,P5,5,2,B,sd,1.0,300,299,0.9966666666666667,-0.0034017236477894564,-0.0034017236477894564,0.028700852473430804,0.028700852473430804,0.02854632379561774,0,1,0,0
normal,norm_estandar,1000,P5,5,2,Bg,mean,0.0,300,300,1.0,-0.003157793312364291,nan,0.034479074304647556,nan,0.0343915323584406,0,0,0,0
normal,norm_estandar,1000,P5,5,2,Bg,sd,1.0,300,300,1.0,-0.0020808820740046974,-0.0020808820740046974,0.027432948001256757,0.027432948001256757,0.027399617319674836,0,0,0,0
normal,norm_estandar,1000,P5,5,2,C,mean,0.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,1000,P5,5,2,C,sd,1.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,1000,P5,5,2,D,mean,0.0,300,300,1.0,-0.003443317040999858,nan,0.034765961028886426,nan,0.03465282588510333,0,0,0,0
normal,norm_estandar,1000,P5,5,2,D,sd,1.0,300,300,1.0,-0.002047181825137301,-0.002047181825137301,0.028012172390396696,0.028012172390396696,0.027983945145215523,0,0,0,0
normal,norm_estandar,1000,Pmk,2,2,A,mean,0.0,300,300,1.0,-0.004068750995549388,nan,0.03616842755146164,nan,0.035998890965101546,0,0,0,0
normal,norm_estandar,1000,Pmk,2,2,A,sd,1.0,300,300,1.0,-0.0013252017186770049,-0.0013252017186770049,0.03570628356264187,0.03570628356264187,0.03574130190409882,0,0,0,0
normal,norm_estandar,1000,Pmk,2,2,B,mean,0.0,300,300,1.0,-0.004068749764334519,nan,0.03616845681513586,nan,0.035998920604548006,0,0,0,0
normal,norm_estandar,1000,Pmk,2,2,B,sd,1.0,300,300,1.0,-0.0013253283450698206,-0.0013253283450698206,0.03570630808774884,0.03570630808774884,0.03574132177619285,0,0,0,0
normal,norm_estandar,1000,Pmk,2,2,Bg,mean,0.0,300,300,1.0,-0.004068745175532804,nan,0.03616840660214348,nan,0.03599887050673149,0,0,0,0
normal,norm_estandar,1000,Pmk,2,2,Bg,sd,1.0,300,300,1.0,-0.0013246314663277747,-0.0013246314663277747,0.03570637554977426,0.03570637554977426,0.03574141531813024,0,0,0,0
normal,norm_estandar,1000,Pmk,2,2,C,mean,0.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,1000,Pmk,2,2,C,sd,1.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,1000,Pmk,2,2,D,mean,0.0,300,300,1.0,-0.004068548204868844,nan,0.03616834074279369,nan,0.03599882645232532,0,0,0,0
normal,norm_estandar,1000,Pmk,2,2,D,sd,1.0,300,300,1.0,-0.0013285836469724144,-0.0013285836469724144,0.03570421938302286,0.03570421938302286,0.03573910686875948,0,0,0,0
normal,norm_estandar,10000,P3c,3,2,A,mean,0.0,300,300,1.0,3.501681909275795e-05,nan,0.010236411180903656,nan,0.010253454643549874,0,0,0,0
normal,norm_estandar,10000,P3c,3,2,A,sd,1.0,300,300,1.0,-0.0014884019075177557,-0.0014884019075177557,0.011560355386656887,0.011560355386656887,0.011483293511026038,0,0,0,0
normal,norm_estandar,10000,P3c,3,2,B,mean,0.0,300,295,0.9833333333333333,0.0004530945199521891,nan,0.01181282419591603,nan,0.011824189527630273,0,5,0,0
normal,norm_estandar,10000,P3c,3,2,B,sd,1.0,300,295,0.9833333333333333,-0.0015338484379615602,-0.0015338484379615602,0.011527895219937963,0.011527895219937963,0.011444810600382022,0,5,0,0
normal,norm_estandar,10000,P3c,3,2,Bg,mean,0.0,300,300,1.0,3.501192954610201e-05,nan,0.010236423889272499,nan,0.010253467389979976,0,0,0,0
normal,norm_estandar,10000,P3c,3,2,Bg,sd,1.0,300,300,1.0,-0.0014877785268955224,-0.0014877785268955224,0.011560315759633339,0.011560315759633339,0.011483334537100811,0,0,0,0
normal,norm_estandar,10000,P3c,3,2,C,mean,0.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,10000,P3c,3,2,C,sd,1.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,10000,P3c,3,2,D,mean,0.0,300,300,1.0,0.00010151653062810619,nan,0.01023804342394792,nan,0.010254645454099496,0,0,0,0
normal,norm_estandar,10000,P3c,3,2,D,sd,1.0,300,300,1.0,-0.0014307293291710987,-0.0014307293291710987,0.01155418660612256,0.01155418660612256,0.011484419067595559,0,0,0,0
normal,norm_estandar,10000,P3w,3,2,A,mean,0.0,300,300,1.0,0.0004175079729849599,nan,0.010854413015592763,nan,0.010864503076343767,0,0,0,0
normal,norm_estandar,10000,P3w,3,2,A,sd,1.0,300,300,1.0,-0.0006762250890320898,-0.0006762250890320898,0.008588707757050786,0.008588707757050786,0.008576351199547588,0,0,0,0
normal,norm_estandar,10000,P3w,3,2,B,mean,0.0,300,297,0.99,0.0004550154525617699,nan,0.01177855222086205,nan,0.011789624711374975,0,3,0,0
normal,norm_estandar,10000,P3w,3,2,B,sd,1.0,300,297,0.99,-0.0007767650028858153,-0.0007767650028858153,0.008578237885627714,0.008578237885627714,0.008557415782278784,0,3,0,0
normal,norm_estandar,10000,P3w,3,2,Bg,mean,0.0,300,300,1.0,0.00041754178284651277,nan,0.010854446082446675,nan,0.010864534919315662,0,0,0,0
normal,norm_estandar,10000,P3w,3,2,Bg,sd,1.0,300,300,1.0,-0.0006762582685467811,-0.0006762582685467811,0.00858877243567076,0.00858877243567076,0.008576413563060142,0,0,0,0
normal,norm_estandar,10000,P3w,3,2,C,mean,0.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,10000,P3w,3,2,C,sd,1.0,300,0,0.0,nan,nan,nan,nan,nan,300,0,0,0
normal,norm_estandar,10000,P3w,3,2,D,mean,0.0,300,300,1.0,0.0004354838752610604,nan,0.010463410539204925,nan,0.0104718118482085,0,0,0,0
