"dist","scenario","n","c_step","log10_c","valid","J_fro_rel"
"exponential","rate_pequeno",1000,3.16227766016838e-05,-4.5,TRUE,3.32844439185465e-07
"exponential","rate_pequeno",1000,1e-04,-4,TRUE,1.90351853461834e-08
"exponential","rate_pequeno",1000,0.000316227766016838,-3.5,TRUE,3.91873760122507e-07
"exponential","rate_pequeno",1000,0.001,-3,TRUE,3.94135852286581e-06
"exponential","rate_pequeno",1000,0.00316227766016838,-2.5,TRUE,3.94168950723497e-05
"exponential","rate_pequeno",1000,0.01,-2,TRUE,0.000394225189417284
"exponential","rate_pequeno",10000,1e-09,-9,TRUE,880.689944848463
"exponential","rate_pequeno",10000,3.16227766016838e-09,-8.5,TRUE,117.572096031345
"exponential","rate_pequeno",10000,1e-08,-8,TRUE,22.410388190804
"exponential","rate_pequeno",10000,3.16227766016838e-08,-7.5,TRUE,2.61796908403335
"exponential","rate_pequeno",10000,1e-07,-7,TRUE,0.140116307993703
"exponential","rate_pequeno",10000,3.16227766016838e-07,-6.5,TRUE,0.0163756846994535
"exponential","rate_pequeno",10000,1e-06,-6,TRUE,0.000748490504553047
"exponential","rate_pequeno",10000,3.16227766016838e-06,-5.5,TRUE,0.000219476537644186
"exponential","rate_pequeno",10000,1e-05,-5,TRUE,1.45596332202331e-05
"exponential","rate_pequeno",10000,3.16227766016838e-05,-4.5,TRUE,2.0943615862052e-06
"exponential","rate_pequeno",10000,1e-04,-4,TRUE,3.24901076237438e-07
"exponential","rate_pequeno",10000,0.000316227766016838,-3.5,TRUE,4.13678132827044e-07
"exponential","rate_pequeno",10000,0.001,-3,TRUE,3.99063343302259e-06
"exponential","rate_pequeno",10000,0.00316227766016838,-2.5,TRUE,3.98868609558122e-05
"exponential","rate_pequeno",10000,0.01,-2,TRUE,0.000398924149150844
"exponential","rate_grande",100,1e-09,-9,TRUE,145.97645288581
"exponential","rate_grande",100,3.16227766016838e-09,-8.5,TRUE,16.6371743462972
"exponential","rate_grande",100,1e-08,-8,TRUE,1.9395290577162
"exponential","rate_grande",100,3.16227766016838e-08,-7.5,TRUE,0.0876257513549952
"exponential","rate_grande",100,1e-07,-7,TRUE,0.01413752491209
"exponential","rate_grande",100,3.16227766016838e-07,-6.5,TRUE,0.00120359705813854
"exponential","rate_grande",100,1e-06,-6,TRUE,8.6576016206692e-05
"exponential","rate_grande",100,3.16227766016838e-06,-5.5,TRUE,7.20873164823388e-06
"exponential","rate_grande",100,1e-05,-5,TRUE,1.62362643848724e-06
"exponential","rate_grande",100,3.16227766016838e-05,-4.5,TRUE,2.12652490887422e-07
"exponential","rate_grande",100,1e-04,-4,TRUE,4.21598053890193e-08
"exponential","rate_grande",100,0.000316227766016838,-3.5,TRUE,3.23472736312169e-07
"exponential","rate_grande",100,0.001,-3,TRUE,3.22299480345123e-06
"exponential","rate_grande",100,0.00316227766016838,-2.5,TRUE,3.22297531272397e-05
"exponential","rate_grande",100,0.01,-2,TRUE,0.000322334783027713
"exponential","rate_grande",1000,1e-09,-9,TRUE,1
"exponential","rate_grande",1000,3.16227766016838e-09,-8.5,TRUE,29.2743044809685
"exponential","rate_grande",1000,1e-08,-8,TRUE,5.0548608961937
"exponential","rate_grande",1000,3.16227766016838e-08,-7.5,TRUE,0.141108399667274
"exponential","rate_grande",1000,1e-07,-7,TRUE,0.00370963317672431
"exponential","rate_grande",1000,3.16227766016838e-07,-6.5,TRUE,0.00394251244196266
"exponential","rate_grande",1000,1e-06,-6,TRUE,0.000332883830770015
"exponential","rate_grande",1000,3.16227766016838e-06,-5.5,TRUE,2.08256153509865e-05
"exponential","rate_grande",1000,1e-05,-5,TRUE,2.89391192711719e-06
"exponential","rate_grande",1000,3.16227766016838e-05,-4.5,TRUE,9.93607443433575e-08
"exponential","rate_grande",1000,1e-04,-4,TRUE,8.07304031695821e-08
"exponential","rate_grande",1000,0.000316227766016838,-3.5,TRUE,3.22459080848603e-07
"exponential","rate_grande",1000,0.001,-3,TRUE,3.25480492472252e-06
"exponential","rate_grande",1000,0.00316227766016838,-2.5,TRUE,3.25457301322558e-05
"exponential","rate_grande",1000,0.01,-2,TRUE,0.000325495242841953
"exponential","rate_grande",10000,1e-09,-9,TRUE,394.490040057485
"exponential","rate_grande",10000,3.16227766016838e-09,-8.5,TRUE,19.8328590503564
"exponential","rate_grande",10000,1e-08,-8,TRUE,0.435014228489308
"exponential","rate_grande",10000,3.16227766016838e-08,-7.5,TRUE,0.20901991988503
"exponential","rate_grande",10000,1e-07,-7,TRUE,0.112972338728213
"exponential","rate_grande",10000,3.16227766016838e-07,-6.5,TRUE,0.0095799425417561
"exponential","rate_grande",10000,1e-06,-6,TRUE,6.24812920263139e-05
"exponential","rate_grande",10000,3.16227766016838e-06,-5.5,TRUE,4.10994327503431e-05
"exponential","rate_grande",10000,1e-05,-5,TRUE,7.30101500848832e-06
"exponential","rate_grande",10000,3.16227766016838e-05,-4.5,TRUE,3.32857160174171e-07
"exponential","rate_grande",10000,1e-04,-4,TRUE,1.09715027429047e-07
"exponential","rate_grande",10000,0.000316227766016838,-3.5,TRUE,3.17414215714962e-07
"exponential","rate_grande",10000,0.001,-3,TRUE,3.21935063384444e-06
"exponential","rate_grande",10000,0.00316227766016838,-2.5,TRUE,3.21955725024964e-05
"exponential","rate_grande",10000,0.01,-2,TRUE,0.000321994585133689
"poisson","lambda_1",100,1e-09,-9,TRUE,2533.6275730063
"poisson","lambda_1",100,3.16227766016838e-09,-8.5,TRUE,197.982144567156
"poisson","lambda_1",100,1e-08,-8,TRUE,9.44209191002099
"poisson","lambda_1",100,3.16227766016838e-08,-7.5,TRUE,2.12561225466947
"poisson","lambda_1",100,1e-07,-7,TRUE,0.0432295835309541
"poisson","lambda_1",100,3.16227766016838e-07,-6.5,TRUE,0.0291594303475857
"poisson","lambda_1",100,1e-06,-6,TRUE,0.000174914789847144
"poisson","lambda_1",100,3.16227766016838e-06,-5.5,TRUE,0.000287476015314091
"poisson","lambda_1",100,1e-05,-5,TRUE,3.98413192869492e-05
"poisson","lambda_1",100,3.16227766016838e-05,-4.5,TRUE,2.41471181904879e-06
"poisson","lambda_1",100,1e-04,-4,TRUE,1.91627616076592e-07
"poisson","lambda_1",100,0.000316227766016838,-3.5,TRUE,1.71577167435262e-08
"poisson","lambda_1",100,0.001,-3,TRUE,8.27403709990904e-08
"poisson","lambda_1",100,0.00316227766016838,-2.5,TRUE,8.33326762578355e-07
"poisson","lambda_1",100,0.01,-2,TRUE,8.33333186813317e-06
"poisson","lambda_1",1000,1e-09,-9,TRUE,2757.04455082706
"poisson","lambda_1",1000,3.16227766016838e-09,-8.5,TRUE,1953.1982235025
"poisson","lambda_1",1000,1e-08,-8,TRUE,173.252784426691
"poisson","lambda_1",1000,3.16227766016838e-08,-7.5,TRUE,18.2252784426691
"poisson","lambda_1",1000,1e-07,-7,TRUE,0.150219596828325
"poisson","lambda_1",1000,3.16227766016838e-07,-6.5,TRUE,0.106582224773563
"poisson","lambda_1",1000,1e-06,-6,TRUE,0.0381404517613577
"poisson","lambda_1",1000,3.16227766016838e-06,-5.5,TRUE,0.00295494966246552
"poisson","lambda_1",1000,1e-05,-5,TRUE,0.00044924582500549
"poisson","lambda_1",1000,3.16227766016838e-05,-4.5,TRUE,4.83364118462755e-06
"poisson","lambda_1",1000,1e-04,-4,TRUE,2.03166255783854e-06
"poisson","lambda_1",1000,0.000316227766016838,-3.5,TRUE,9.554126099737e-08
"poisson","lambda_1",1000,0.001,-3,TRUE,7.90082273365121e-08
"poisson","lambda_1",1000,0.00316227766016838,-2.5,TRUE,8.30397839928826e-07
"poisson","lambda_1",1000,0.01,-2,TRUE,8.33299877786435e-06
"poisson","lambda_1",10000,1e-09,-9,TRUE,347973.762813765
"poisson","lambda_1",10000,3.16227766016838e-09,-8.5,TRUE,38376.9108963604
"poisson","lambda_1",10000,1e-08,-8,TRUE,4205.44609539319
"poisson","lambda_1",10000,3.16227766016838e-08,-7.5,TRUE,261.21529084833
"poisson","lambda_1",10000,1e-07,-7,TRUE,19.2348517567523
"poisson","lambda_1",10000,3.16227766016838e-07,-6.5,TRUE,3.64171570322181
"poisson","lambda_1",10000,1e-06,-6,TRUE,0.291466312410215
"poisson","lambda_1",10000,3.16227766016838e-06,-5.5,TRUE,0.0326716855547685
"poisson","lambda_1",10000,1e-05,-5,TRUE,0.00201951117667761
"poisson","lambda_1",10000,3.16227766016838e-05,-4.5,TRUE,0.000342048679764354
"poisson","lambda_1",10000,1e-04,-4,TRUE,4.0004725024303e-05
"poisson","lambda_1",10000,0.000316227766016838,-3.5,TRUE,5.26139800847903e-06
"poisson","lambda_1",10000,0.001,-3,TRUE,5.17639088445793e-07
"poisson","lambda_1",10000,0.00316227766016838,-2.5,TRUE,7.86980034233804e-07
"poisson","lambda_1",10000,0.01,-2,TRUE,8.33067346688358e-06
"poisson","lambda_pequeno",100,1e-09,-9,TRUE,3256.43206505347
"poisson","lambda_pequeno",100,3.16227766016838e-09,-8.5,TRUE,153.299413607796
"poisson","lambda_pequeno",100,1e-08,-8,TRUE,15.2871603252673
"poisson","lambda_pequeno",100,3.16227766016838e-08,-7.5,TRUE,1.14304741121939
"poisson","lambda_pequeno",100,1e-07,-7,TRUE,0.388694722470162
"poisson","lambda_pequeno",100,3.16227766016838e-07,-6.5,TRUE,0.0183761298114518
"poisson","lambda_pequeno",100,1e-06,-6,TRUE,0.00174608190038938
"poisson","lambda_pequeno",100,3.16227766016838e-06,-5.5,TRUE,0.000194515574666543
"poisson","lambda_pequeno",100,1e-05,-5,TRUE,3.16439714136418e-05
"poisson","lambda_pequeno",100,3.16227766016838e-05,-4.5,TRUE,3.27002368916141e-06
"poisson","lambda_pequeno",100,1e-04,-4,TRUE,2.86901692625463e-07
"poisson","lambda_pequeno",100,0.000316227766016838,-3.5,TRUE,1.07742929245092e-07
"poisson","lambda_pequeno",100,0.001,-3,TRUE,8.65438771979754e-07
"poisson","lambda_pequeno",100,0.00316227766016838,-2.5,TRUE,8.63456854660605e-06
"poisson","lambda_pequeno",100,0.01,-2,TRUE,8.63460289395324e-05
"poisson","lambda_pequeno",1000,1e-09,-9,TRUE,30929.0048365308
"poisson","lambda_pequeno",1000,3.16227766016838e-09,-8.5,TRUE,1780.15739162724
"poisson","lambda_pequeno",1000,1e-08,-8,TRUE,136.828144952187
"poisson","lambda_pequeno",1000,3.16227766016838e-08,-7.5,TRUE,0.362309178628231
"poisson","lambda_pequeno",1000,1e-07,-7,TRUE,2.56871942057455
"poisson","lambda_pequeno",1000,3.16227766016838e-07,-6.5,TRUE,0.074710618189563
"poisson","lambda_pequeno",1000,1e-06,-6,TRUE,0.0154691408841257
"poisson","lambda_pequeno",1000,3.16227766016838e-06,-5.5,TRUE,0.000400506775110811
"poisson","lambda_pequeno",1000,1e-05,-5,TRUE,0.000258939412766634
"poisson","lambda_pequeno",1000,3.16227766016838e-05,-4.5,TRUE,2.54170339802068e-05
"poisson","lambda_pequeno",1000,1e-04,-4,TRUE,3.74915425036492e-07
"poisson","lambda_pequeno",1000,0.000316227766016838,-3.5,TRUE,5.14830467599662e-09
"poisson","lambda_pequeno",1000,0.001,-3,TRUE,7.37663751324966e-07
"poisson","lambda_pequeno",1000,0.00316227766016838,-2.5,TRUE,7.57795637716011e-06
"poisson","lambda_pequeno",1000,0.01,-2,TRUE,7.58009887809234e-05
"poisson","lambda_pequeno",10000,1e-09,-9,TRUE,52421.2307638752
"poisson","lambda_pequeno",10000,3.16227766016838e-09,-8.5,TRUE,4387.60437620948
"poisson","lambda_pequeno",10000,1e-08,-8,TRUE,2045.66785125
"poisson","lambda_pequeno",10000,3.16227766016838e-08,-7.5,TRUE,40.0741233379788
"poisson","lambda_pequeno",10000,1e-07,-7,TRUE,3.15762519851424
"poisson","lambda_pequeno",10000,3.16227766016838e-07,-6.5,TRUE,0.392424336932098
"poisson","lambda_pequeno",10000,1e-06,-6,TRUE,0.1984018276681
"poisson","lambda_pequeno",10000,3.16227766016838e-06,-5.5,TRUE,0.0167417256972687
"poisson","lambda_pequeno",10000,1e-05,-5,TRUE,6.25116087064504e-05
"poisson","lambda_pequeno",10000,3.16227766016838e-05,-4.5,TRUE,9.44538063967803e-05
"poisson","lambda_pequeno",10000,1e-04,-4,TRUE,2.47388080943903e-06
"poisson","lambda_pequeno",10000,0.000316227766016838,-3.5,TRUE,2.04506294436915e-06
"poisson","lambda_pequeno",10000,0.001,-3,TRUE,8.01303504808308e-07
"poisson","lambda_pequeno",10000,0.00316227766016838,-2.5,TRUE,7.34335688224718e-06
"poisson","lambda_pequeno",10000,0.01,-2,TRUE,7.34154106118963e-05
"poisson","lambda_grande",100,1e-09,-9,TRUE,0.420444041259366
"poisson","lambda_grande",100,3.16227766016838e-09,-8.5,TRUE,0.0389989560222998
"poisson","lambda_grande",100,1e-08,-8,TRUE,0.0014928493148898
"poisson","lambda_grande",100,3.16227766016838e-08,-7.5,TRUE,0.000726767135334248
"poisson","lambda_grande",100,1e-07,-7,TRUE,5.48492236824839e-05
"poisson","lambda_grande",100,3.16227766016838e-07,-6.5,TRUE,4.41548019469428e-06
"poisson","lambda_grande",100,1e-06,-6,TRUE,3.73724738907409e-08
"poisson","lambda_grande",100,3.16227766016838e-06,-5.5,TRUE,5.04077761609136e-08
"poisson","lambda_grande",100,1e-05,-5,TRUE,4.92164620064776e-09
"poisson","lambda_grande",100,3.16227766016838e-05,-4.5,TRUE,3.74060306357141e-09
"poisson","lambda_grande",100,1e-04,-4,TRUE,3.72407381424055e-08
"poisson","lambda_grande",100,0.000316227766016838,-3.5,TRUE,3.72059189630587e-07
"poisson","lambda_grande",100,0.001,-3,TRUE,3.72052418103127e-06
"poisson","lambda_grande",100,0.00316227766016838,-2.5,TRUE,3.72057373911871e-05
"poisson","lambda_grande",100,0.01,-2,TRUE,0.000372107210509945
"poisson","lambda_grande",1000,1e-09,-9,TRUE,0.465256647524011
"poisson","lambda_grande",1000,3.16227766016838e-09,-8.5,TRUE,0.0272763778770114
"poisson","lambda_grande",1000,1e-08,-8,TRUE,0.00328038512161678
"poisson","lambda_grande",1000,3.16227766016838e-08,-7.5,TRUE,0.000233642623225378
"poisson","lambda_grande",1000,1e-07,-7,TRUE,3.17229001385056e-06
"poisson","lambda_grande",1000,3.16227766016838e-07,-6.5,TRUE,8.03185641886573e-06
"poisson","lambda_grande",1000,1e-06,-6,TRUE,1.07061318289866e-08
"poisson","lambda_grande",1000,3.16227766016838e-06,-5.5,TRUE,7.18196578174136e-08
"poisson","lambda_grande",1000,1e-05,-5,TRUE,7.75184290889529e-10
"poisson","lambda_grande",1000,3.16227766016838e-05,-4.5,TRUE,3.2735870026049e-09
"poisson","lambda_grande",1000,1e-04,-4,TRUE,3.71915941788224e-08
"poisson","lambda_grande",1000,0.000316227766016838,-3.5,TRUE,3.72288770841497e-07
"poisson","lambda_grande",1000,0.001,-3,TRUE,3.72294692110486e-06
"poisson","lambda_grande",1000,0.00316227766016838,-2.5,TRUE,3.72299777041602e-05
"poisson","lambda_grande",1000,0.01,-2,TRUE,0.000372349679863457
"poisson","lambda_grande",10000,1e-09,-9,TRUE,13.1086597277836
"poisson","lambda_grande",10000,3.16227766016838e-09,-8.5,TRUE,0.599091434222962
"poisson","lambda_grande",10000,1e-08,-8,TRUE,0.109860879843266
"poisson","lambda_grande",10000,3.16227766016838e-08,-7.5,TRUE,0.00772077366890266
"poisson","lambda_grande",10000,1e-07,-7,TRUE,0.00100301135606009
"poisson","lambda_grande",10000,3.16227766016838e-07,-6.5,TRUE,2.37362197561857e-05
"poisson","lambda_grande",10000,1e-06,-6,TRUE,6.438134430447e-06
"poisson","lambda_grande",10000,3.16227766016838e-06,-5.5,TRUE,8.21344371873759e-07
"poisson","lambda_grande",10000,1e-05,-5,TRUE,4.67971631300818e-08
"poisson","lambda_grande",10000,3.16227766016838e-05,-4.5,TRUE,3.14493628084561e-09
"poisson","lambda_grande",10000,1e-04,-4,TRUE,3.65735027628744e-08
"poisson","lambda_grande",10000,0.000316227766016838,-3.5,TRUE,3.72353759745808e-07
"poisson","lambda_grande",10000,0.001,-3,TRUE,3.72380080955849e-06
"poisson","lambda_grande",10000,0.00316227766016838,-2.5,TRUE,3.72386053953983e-05
"poisson","lambda_grande",10000,0.01,-2,TRUE,0.000372435984315618
"geometric","p_media",100,1e-09,-9,TRUE,3830.66749358039
"geometric","p_media",100,3.16227766016838e-09,-8.5,TRUE,491.642963460336
"geometric","p_media",100,1e-08,-8,TRUE,20.8952428204594
"geometric","p_media",100,3.16227766016838e-08,-7.5,TRUE,8.30547819869524
"geometric","p_media",100,1e-07,-7,TRUE,0.313714569227563
"geometric","p_media",100,3.16227766016838e-07,-6.5,TRUE,0.0126549804462465
"geometric","p_media",100,1e-06,-6,TRUE,0.00280212117703969
"geometric","p_media",100,3.16227766016838e-06,-5.5,TRUE,0.000284168252686862
"geometric","p_media",100,1e-05,-5,TRUE,4.33205816616717e-05
"geometric","p_media",100,3.16227766016838e-05,-4.5,TRUE,1.71962030293571e-06
"geometric","p_media",100,1e-04,-4,TRUE,2.96429519605849e-07
"geometric","p_media",100,0.000316227766016838,-3.5,TRUE,1.7265173508147e-08
"geometric","p_media",100,0.001,-3,TRUE,3.80203144766677e-08
"geometric","p_media",100,0.00316227766016838,-2.5,TRUE,4.14125848161954e-07
"geometric","p_media",100,0.01,-2,TRUE,4.14807487289779e-06
"geometric","p_media",1000,1e-09,-9,TRUE,8505.24308286076
"geometric","p_media",1000,3.16227766016838e-09,-8.5,TRUE,4119.81244012205
"geometric","p_media",1000,1e-08,-8,TRUE,292.00305283471
"geometric","p_media",1000,3.16227766016838e-08,-7.5,TRUE,9.29703110030513
"geometric","p_media",1000,1e-07,-7,TRUE,4.4024972331443
"geometric","p_media",1000,3.16227766016838e-07,-6.5,TRUE,0.086698111103371
"geometric","p_media",1000,1e-06,-6,TRUE,0.0207491699432911
"geometric","p_media",1000,3.16227766016838e-06,-5.5,TRUE,0.00145660147301894
"geometric","p_media",1000,1e-05,-5,TRUE,0.000247819561244211
"geometric","p_media",1000,3.16227766016838e-05,-4.5,TRUE,8.39624576480511e-05
"geometric","p_media",1000,1e-04,-4,TRUE,8.03304570829791e-06
"geometric","p_media",1000,0.000316227766016838,-3.5,TRUE,3.19226323268214e-07
"geometric","p_media",1000,0.001,-3,TRUE,7.25452737533276e-08
"geometric","p_media",1000,0.00316227766016838,-2.5,TRUE,4.12123451673141e-07
"geometric","p_media",1000,0.01,-2,TRUE,4.16357811475477e-06
"geometric","p_media",10000,1e-09,-9,TRUE,1008944.70885039
"geometric","p_media",10000,3.16227766016838e-09,-8.5,TRUE,56973.242391552
"geometric","p_media",10000,1e-08,-8,TRUE,5716.29918915252
"geometric","p_media",10000,3.16227766016838e-08,-7.5,TRUE,946.681383859772
"geometric","p_media",10000,1e-07,-7,TRUE,114.113037083227
"geometric","p_media",10000,3.16227766016838e-07,-6.5,TRUE,1.95074236985902
"geometric","p_media",10000,1e-06,-6,TRUE,0.0946189718376875
"geometric","p_media",10000,3.16227766016838e-06,-5.5,TRUE,0.0639344895388018
"geometric","p_media",10000,1e-05,-5,TRUE,0.00817326879707039
"geometric","p_media",10000,3.16227766016838e-05,-4.5,TRUE,0.000542747906201682
"geometric","p_media",10000,1e-04,-4,TRUE,2.47198392784967e-05
"geometric","p_media",10000,0.000316227766016838,-3.5,TRUE,2.92867956172792e-06
"geometric","p_media",10000,0.001,-3,TRUE,1.03767829300832e-06
"geometric","p_media",10000,0.00316227766016838,-2.5,TRUE,4.56893999694438e-07
"geometric","p_media",10000,0.01,-2,TRUE,4.16953210902392e-06
