dist,dgp,n,cfg,m,k,objective,parameter,theta_true,R,n_success,conv_rate,bias,rel_bias,rmse,rel_rmse,sd,fail_not_applicable,fail_optimizer,fail_boundary,fail_nonfinite
burr,burr_pesada,100,P3c,3,3,A,shape1,1.2,300,291,0.97,1.612908061792204,1.3440900514935035,6.924311809919733,5.770259841599778,6.74544160077192,0,9,0,0
burr,burr_pesada,100,P3c,3,3,A,shape2,0.8,300,291,0.97,569.2325085779415,711.5406357224268,2047.6783974960822,2559.5979968701026,1970.3559110390604,0,9,0,0
burr,burr_pesada,100,P3c,3,3,A,scale,400.0,300,291,0.97,4608406.28678886,11521.015716972151,23328335.145614557,58320.837864036395,22908015.412404727,0,9,0,0
burr,burr_pesada,100,P3c,3,3,B,shape1,1.2,300,300,1.0,1.2032653916973637,1.0027211597478032,5.093975962260254,4.244979968550212,4.958092958707607,0,0,0,0
burr,burr_pesada,100,P3c,3,3,B,shape2,0.8,300,300,1.0,834.6786770254496,1043.348346281812,2718.333573335081,3397.916966668851,2591.337948483476,0,0,0,0
burr,burr_pesada,100,P3c,3,3,B,scale,400.0,300,300,1.0,10622959.689362638,26557.399223406595,51430095.14428884,128575.23786072209,50405122.11180326,0,0,0,0
burr,burr_pesada,100,P3c,3,3,Bg,shape1,1.2,300,300,1.0,0.8971419742361906,0.7476183118634921,3.7413226122694754,3.1177688435578963,3.6382349675917265,0,0,0,0
burr,burr_pesada,100,P3c,3,3,Bg,shape2,0.8,300,300,1.0,574.5271968320837,718.1589960401046,1851.1720530984255,2313.9650663730317,1762.7006312258438,0,0,0,0
burr,burr_pesada,100,P3c,3,3,Bg,scale,400.0,300,300,1.0,2788639.161250614,6971.597903126535,11020707.36509622,27551.768412740552,10679872.723651888,0,0,0,0
burr,burr_pesada,100,P3c,3,3,C,shape1,1.2,300,299,0.9966666666666667,1.0742563095562432,0.8952135912968694,4.516314857051453,3.7635957142095444,4.3940468068485705,0,1,0,0
burr,burr_pesada,100,P3c,3,3,C,shape2,0.8,300,299,0.9966666666666667,925.844352503691,1157.3054406296137,3919.876370191828,4899.845462739784,3815.354291765685,0,1,0,0
burr,burr_pesada,100,P3c,3,3,C,scale,400.0,300,299,0.9966666666666667,9024254.306936912,22560.63576734228,42291253.624004416,105728.13406001104,41386489.75569126,0,1,0,0
burr,burr_pesada,100,P3c,3,3,D,shape1,1.2,300,300,1.0,0.8500404469878828,0.7083670391565691,3.4600159045161734,2.883346587096811,3.3595779264866943,0,0,0,0
burr,burr_pesada,100,P3c,3,3,D,shape2,0.8,300,300,1.0,1135.3456255263768,1419.182031907971,8301.25993510475,10376.574918880937,8236.993811109383,0,0,0,0
burr,burr_pesada,100,P3c,3,3,D,scale,400.0,300,300,1.0,11823654.982652998,29559.137456632496,105007430.8876091,262518.5772190227,104513981.3555895,0,0,0,0
burr,burr_pesada,100,P3w,3,3,A,shape1,1.2,300,292,0.9733333333333334,0.0695504859074787,0.05795873825623225,0.3186206668060861,0.2655172223384051,0.31147086427474596,0,8,0,0
burr,burr_pesada,100,P3w,3,3,A,shape2,0.8,300,292,0.9733333333333334,15.737800640798998,19.672250800998746,225.61952855568487,282.02441069460605,225.45636072914888,0,8,0,0
burr,burr_pesada,100,P3w,3,3,A,scale,400.0,300,292,0.9733333333333334,147213.1785217696,368.03294630442394,2106979.911217938,5267.4497780448455,2105439.075504871,0,8,0,0
burr,burr_pesada,100,P3w,3,3,B,shape1,1.2,300,300,1.0,0.07219299602065754,0.06016083001721462,0.3243356693844515,0.27027972448704296,0.3167273039131643,0,0,0,0
burr,burr_pesada,100,P3w,3,3,B,shape2,0.8,300,300,1.0,106.3058572182435,132.88232152280438,1637.8155761223657,2047.269470152957,1637.092697776715,0,0,0,0
burr,burr_pesada,100,P3w,3,3,B,scale,400.0,300,300,1.0,76022950.20520262,190057.37551300655,1315593624.5820928,3288984.061455232,1315589734.9041212,0,0,0,0
burr,burr_pesada,100,P3w,3,3,Bg,shape1,1.2,300,300,1.0,0.06753101809037876,0.056275848408648965,0.3260760729688709,0.2717300608073924,0.31953954166493304,0,0,0,0
burr,burr_pesada,100,P3w,3,3,Bg,shape2,0.8,300,300,1.0,12.549514571098614,15.686893213873267,174.58381052817603,218.22976316022002,174.42312922678974,0,0,0,0
burr,burr_pesada,100,P3w,3,3,Bg,scale,400.0,300,300,1.0,143307.27944166257,358.2681986041564,2164311.3974762275,5410.778493690569,2163170.018901298,0,0,0,0
burr,burr_pesada,100,P3w,3,3,C,shape1,1.2,300,300,1.0,0.07218898772721594,0.06015748977267995,0.3243385341806369,0.2702821118171974,0.31673116398532003,0,0,0,0
burr,burr_pesada,100,P3w,3,3,C,shape2,0.8,300,300,1.0,108.03246602870763,135.04058253588454,1413.7468256637917,1767.1835320797395,1411.9683384034204,0,0,0,0
burr,burr_pesada,100,P3w,3,3,C,scale,400.0,300,300,1.0,14205945.507930651,35514.863769826625,235919898.87275,589799.747181875,235885274.38551012,0,0,0,0
burr,burr_pesada,100,P3w,3,3,D,shape1,1.2,300,300,1.0,0.0723702054538311,0.060308504544859254,0.3240991674725264,0.27008263956043865,0.31644369550845075,0,0,0,0
burr,burr_pesada,100,P3w,3,3,D,shape2,0.8,300,300,1.0,53.77085456757692,67.21356820947115,695.4465436685351,869.3081795856689,694.5231926894373,0,0,0,0
burr,burr_pesada,100,P3w,3,3,D,scale,400.0,300,300,1.0,12624128.488212604,31560.32122053151,217601487.01827514,544003.7175456878,217597950.57120126,0,0,0,0
burr,burr_pesada,100,P5,5,3,A,shape1,1.2,300,287,0.9566666666666667,0.19586777694847046,0.16322314745705874,0.8198783770450662,0.6832319808708885,0.7975290453476224,0,13,0,0
burr,burr_pesada,100,P5,5,3,A,shape2,0.8,300,287,0.9566666666666667,396.1280547006444,495.16006837580545,1780.181392469881,2225.2267405873513,1738.5799583850257,0,13,0,0
